sequence,mode,frames,mean_trace_rot_l1,mean_trace_rot_used,mean_trace_trans_l1,mean_trace_trans_used,p95_abs_rot_trace_error,max_abs_rot_trace_error,p95_abs_trans_trace_error,max_abs_trans_trace_error
stairs_alpha,l1,3446,4.004175757399883e-06,4.004175757399883e-06,0.0003004614013348685,0.0003004614013348685,0,0,0,0
stairs_alpha,l2,3446,3.997673668020891e-06,3.997673668020891e-06,0.0003002278195008581,0.0003002278195008581,0,0,0,0
tunneling_tunnel2_alpha,l1,2739,8.540448404527177e-06,8.540448404527177e-06,0.00029999999999999276,0.00029999999999999276,0,0,0,0
tunneling_tunnel2_alpha,l2,2739,8.495632924424956e-06,8.495632924424956e-06,0.00029999999999999276,0.00029999999999999276,0,0,0,0
tunneling_tunnel2_gamma,l1,2605,8.125486610364693e-06,8.125486610364693e-06,0.0003002863105566156,0.0003002863105566156,0,0,0,0
tunneling_tunnel2_gamma,l2,2605,8.040537316698655e-06,8.040537316698655e-06,0.0003003264936660205,0.0003003264936660205,0,0,0,0
