sequence,sensor_config,frames_processed,matched_valid_frames,basis_contract_fraction,csv_schema_rows_repaired,gt_valid,gt_matches,ape_rmse_m,ape_median_m,ape_p95_m,rpe_1s_m,rpe_5s_m,rpe_10s_m,median_cond_R,p95_cond_R,median_cond_t,p95_cond_t,fraction_weak_R,fraction_weak_t,weak_rank_distribution,median_delta_L,median_delta_tight,median_weak_delta_L,median_weak_delta_tight,median_strong_delta_L,median_strong_delta_tight,median_weak_suppression,p10_weak_suppression,p50_weak_suppression,p90_weak_suppression,fraction_weak_suppression_lt_0_5,fraction_weak_suppression_lt_0_25,fraction_weak_suppression_lt_0_1,fraction_weak_cost_lidar_better,prior_suppression_candidates,prior_suppression_candidate_fraction,agree_fraction,strong_disagreement_fraction,nonlinear_effect_fraction,sustained_event_count,sustained_event_max_frames
bridge01,VELO16 / geode_alpha.yaml,3814,3814,0.7194546407970634,3814,1,3763,38.80169579023302,35.95791336050365,63.161278993185405,1.1012759287769252,5.399372977156401,10.601223098358789,3.612019334236735,8.826428839232074,3.1718993620304126,9.059834946062871,0.0254326166754064,0.037493445201887785,R[0:3717;1:97] T[0:3671;1:143],0.021185376795708852,0.008624001539674714,0.0136751054246899,0.0032841386679341097,0.01986052373666176,0.00826099622536955,0.2734221696064116,0.18882329430184783,0.2734221696064116,1.1144648197066436,0.7117903930131004,0.3930131004366812,0.013100436681222707,1.0,163,0.0427372836916623,0.0,0.0,0.18563188253801782,0,0
stairs_alpha,VELO16 / geode_stairs_alpha.yaml,3446,3446,0.9965177016831108,3446,1,3439,0.19775026425716782,0.18373555326842403,0.30437285058244,0.06988001508365169,0.16965528807052524,0.20644329245692197,14.588935187760873,61.08560558821052,3.5589047298549215,8.620501391362922,0.665699361578642,0.032791642484039464,R[0:1152;1:2287;2:7] T[0:3333;1:113],0.01842310460655659,0.007976998561113766,0.0027947442574005506,0.002174539728542833,0.01781715612299241,0.007355054833965738,0.8282130228240677,0.32754373817851556,0.8282130228240677,1.362073931795684,0.17543103448275862,0.07370689655172413,0.01853448275862069,1.0,407,0.11810795124782357,0.0,0.0,0.1453859547301219,0,0
tunnel1_gamma,LIVOX6 / geode_gamma.yaml,2078,2078,0.9923002887391723,2078,1,435,0.14250667199967276,0.07366197148258691,0.3119557960439755,0.187607355525831,0.17186756592621014,0.19098009044259714,52.68077710134658,181.43469496181248,2.231108450807371,3.4436574284520467,0.9615014436958614,0.003368623676612127,R[0:80;1:1998] T[0:2071;1:7],0.010025431974505013,0.004329697020348113,0.0011720594909442816,0.0010116655213260025,0.009796222205571067,0.0039047361224864158,0.851425862535697,0.5342258127822195,0.851425862535697,1.2823330129296968,0.08927680798004987,0.03341645885286783,0.014463840399002495,1.0,179,0.08614051973051011,0.0,0.0,0.19489894128970164,0,0
tunnel2_alpha,VELO16 / geode_tunneling2_alpha.yaml,2739,2739,0.9956188389923329,2739,1,580,6.300792969059108,2.615704595649544,17.368694341434107,0.24438205931588328,1.1541363494718986,1.9154714957696088,59.43666970371664,89.16136127820906,1.8232531717432408,5.477666715552828,1.0,0.0,R[1:2738;2:1] T[0:2739],0.009292010179013719,0.004373546900284223,0.001182887040232003,0.0010672544949268093,0.008945565844692652,0.00397177698620431,0.913241962168907,0.4556478632882855,0.913241962168907,1.804327243153359,0.11938663745892661,0.04089083607155896,0.014603870025556773,1.0,327,0.11938663745892661,0.0,0.0,0.14275282949981746,0,0
tunnel2_gamma,LIVOX6 / geode_gamma.yaml,2605,2605,0.9942418426103646,2605,1,614,1.888970350756702,1.913125776773053,2.753086753964238,0.2214578439062669,0.5704427362399319,0.9257225170968755,64.04702484271911,132.25296549898917,2.308561726679575,3.764764293492498,0.8403071017274473,0.01689059500959693,R[0:416;1:2189] T[0:2561;1:42;2:2],0.010076882158302294,0.003855133814444695,0.001381362595140939,0.001168662669343187,0.009823943595875415,0.003450531808540392,0.8485590578640658,0.4241686085595481,0.8485590578640658,1.4689929317729467,0.12942230183609493,0.059113300492610835,0.02373488580385132,1.0,289,0.1109404990403071,0.0,0.0,0.15969289827255279,0,0
