eps,smooth,support_same,cells_same,L1_abs,L1_rel,du_abs,du_rel,dv_abs,dv_rel,Jraw_an,Jraw_fd,Jraw_abs,Jraw_rel,Iu,Iv,Jmean_an,Jmean_fd,Jmean_abs,Jmean_rel,Jdc_an,Jdc_fd,Jdc_abs,Jdc_rel,Jdc_fd_closure,dc_closure_abs,kappa_an,kappa_fd,e_raw,e_mean,e_dc,e_raw_plus_e_mean
3e-06,SMOOTH,1,1,1.2543675401227858e-07,6.5811988610777401e-09,2.031350632073853e-06,0.017224886684231326,1.8756363147076627e-06,4.4327898852463395e-09,636.98016641988499,636.98009411439216,7.2305492835766927e-05,1.1351295512035567e-07,37.15068143981398,1.5054188894175695,636.97683719207816,636.97682425356561,1.2938512554683257e-05,2.0312375681556565e-08,0.0033292278068302039,0.0032698608265491202,5.936698028108367e-05,0.018155812565190183,0.0032698608265491202,0,382658.40535103309,389605.85356546834,7.2305492835766927e-05,1.2938512554683257e-05,5.936698028108367e-05,8.5244005390450184e-05
1e-06,SMOOTH,1,1,1.262709628897854e-07,6.624966690919719e-09,2.0360875836455961e-06,0.017264360320143994,1.8803733041750093e-06,4.443985061379049e-09,636.98016641988499,636.98009364543395,7.2774451041368593e-05,1.142491763359209e-07,37.15068143981398,1.5054188894175695,636.97683719207816,636.97682411145706,1.3080621101835277e-05,2.0535474143948528e-08,0.0033292278068302039,0.0032695339768906706,5.9693829939533316e-05,0.018257595841319928,0.0032695339768906706,0,382658.40535103309,389644.8016021002,7.2774451041368593e-05,1.3080621101835277e-05,5.9693829939533316e-05,8.585507214320387e-05
3e-07,SMOOTH,1,1,1.2136905437096665e-07,6.3677818251838631e-09,1.9555594069261271e-06,0.016592876965057349,1.8898472262662835e-06,4.4663752793026753e-09,636.98016641988499,636.98009663918742,6.9780697572241479e-05,1.095492589806432e-07,37.15068143981398,1.5054188894175695,636.97683719207816,636.97682416356361,1.3028514558754978e-05,2.0453671255407406e-08,0.0033292278068302039,0.0032724756238167174,5.6752183013486501e-05,0.017342278304672571,0.0032724756238167174,0,382658.40535103309,389294.54860749235,6.9780697572241479e-05,1.3028514558754978e-05,5.6752183013486501e-05,8.2809212130996457e-05
1e-07,SMOOTH,1,1,1.3705368517455528e-07,7.1906959320745126e-09,2.1924069855128181e-06,0.018565213754136584,1.7951081758837972e-06,4.2424735030444048e-09,636.98016641988499,636.98008773371839,7.8686166602892627e-05,1.2353002569177076e-07,37.15068143981398,1.5054188894175695,636.97683719207816,636.97682421093305,1.2981145118828863e-05,2.0379305220263703e-08,0.0033292278068302039,0.0032635227853461402,6.5705021484063764e-05,0.020133158493359459,0.0032635227853461402,0,382658.40535103309,390362.499586327,7.8686166602892627e-05,1.2981145118828863e-05,6.5705021484063764e-05,9.1667311721721489e-05
3e-08,SMOOTH,1,1,9.5447766028266952e-08,5.0077884595867185e-09,6.2921296684061124e-07,0.0053996251581556031,2.2214338741832762e-06,5.2500314282465238e-09,636.98016641988499,636.98014637717893,2.0042706069034466e-05,3.1465197436728987e-08,37.15068143981398,1.5054188894175695,636.97683719207816,636.97682814260293,9.0494752384984167e-06,1.4206914347082763e-08,0.0033292278068302039,0.0033182345759996683,1.0993230830535616e-05,0.0033129757944324171,0.0033182345759996679,4.3368086899420177e-19,382658.40535103309,383926.13461812993,2.0042706069034466e-05,9.0494752384984167e-06,1.0993230830535616e-05,2.9092181307532883e-05
1e-08,SMOOTH,1,1,2.5761377700794536e-07,1.3516034506180657e-08,3.4713839098809984e-06,0.029080586463913691,2.2214338173398573e-06,5.2500312939054854e-09,636.98016641988499,636.98004169054911,0.00012472933588014712,1.9581356983982521e-07,37.15068143981398,1.5054188894175695,636.97683719207816,636.97682861629801,8.5757801571162418e-06,1.3463252934561799e-08,0.0033292278068302039,0.003213074251107173,0.00011615355572303088,0.036150286811145509,0.003213074251107173,0,382658.40535103309,396491.57496682886,0.00012472933588014712,8.5757801571162418e-06,0.00011615355572303088,0.00013330511603726336
