sequence_frame,timestamp,registration_success,weak_flag,weak_multiplier,q_weak,rolling_weak_fraction,rolling_q_median,rolling_successful_frames,rolling_q_frames,gate_candidate,state_before,state_after,selected_estimator,mode_switch
113,1.70554e+09,1,1,1.39697,0.133756,1.0,0.1307255,20,20,g0,Loose,Loose,Loose_L1,0
115,1.70554e+09,1,1,1.27391,0.124037,1.0,0.128812,20,20,g0,Loose,Loose,Loose_L1,0
117,1.70554e+09,1,1,1.37599,0.1352,1.0,0.128812,20,20,g0,Loose,Loose,Loose_L1,0
119,1.70554e+09,1,1,1.41198,0.136494,1.0,0.1307255,20,20,g0,Loose,Loose,Loose_L1,0
121,1.70554e+09,1,1,1.26382,0.121683,1.0,0.1307255,20,20,g0,Loose,Loose,Loose_L1,0
123,1.70554e+09,1,1,1.25583,0.12563,1.0,0.128812,20,20,g0,Loose,Loose,Loose_L1,0
125,1.70554e+09,1,1,1.24391,0.121804,1.0,0.1275825,20,20,g0,Loose,Loose,Loose_L1,0
127,1.70554e+09,1,1,1.32972,0.129933,1.0,0.1275825,20,20,g0,Loose,Loose,Loose_L1,0
129,1.70554e+09,1,1,1.28344,0.125321,1.0,0.1254755,20,20,g0,Loose,Loose,Loose_L1,0
131,1.70554e+09,1,1,1.35018,0.134152,1.0,0.1254755,20,20,g0,Loose,Loose,Loose_L1,0
133,1.70554e+09,1,1,1.30796,0.129143,1.0,0.1254755,20,20,g0,Loose,Loose,Loose_L1,0
135,1.70554e+09,1,1,1.27445,0.126841,1.0,0.1254755,20,20,g0,Loose,Loose,Loose_L1,0
137,1.70554e+09,1,1,1.21872,0.120552,1.0,0.1252235,20,20,g0,Loose,Loose,Loose_L1,0
139,1.70554e+09,1,1,1.26147,0.123266,1.0,0.12467899999999998,20,20,g0,Loose,Loose,Loose_L1,0
141,1.70554e+09,1,1,1.17774,0.117498,1.0,0.12467899999999998,20,20,g0,Loose,Loose,Loose_L1,0
143,1.70554e+09,1,1,1.11853,0.110455,1.0,0.12467899999999998,20,20,g0,Loose,Loose,Loose_L1,0
145,1.70554e+09,1,1,1.19115,0.119847,1.0,0.12467899999999998,20,20,g0,Loose,Loose,Loose_L1,0
147,1.70554e+09,1,1,1.36506,0.134915,1.0,0.1254755,20,20,g0,Loose,Loose,Loose_L1,0
149,1.70554e+09,1,1,1.27151,0.123674,1.0,0.1254755,20,20,g0,Loose,Loose,Loose_L1,0
151,1.70554e+09,1,1,1.36566,0.134545,1.0,0.1254755,20,20,g0,Loose,Loose,Loose_L1,0
153,1.70554e+09,0,0,nan,nan,1.0,0.1254755,20,20,g0,Loose,Loose,Native,0
155,1.70554e+09,1,1,1.3626,0.0671579,1.0,0.12467899999999998,20,20,g0,Loose,Loose,Loose_L1,0
157,1.70554e+09,1,1,1.45042,0.14251,1.0,0.1254755,20,20,g0,Loose,Loose,Loose_L1,0
159,1.70554e+09,1,1,1.36353,0.134398,1.0,0.1254755,20,20,g0,Loose,Loose,Loose_L1,0
161,1.70554e+09,1,1,1.49999,0.14812,1.0,0.1254755,20,20,g0,Loose,Loose,Loose_L1,0
163,1.70554e+09,1,1,1.40861,0.138698,1.0,0.1262355,20,20,g0,Loose,Loose,Loose_L1,0
165,1.70554e+09,1,1,1.28428,0.126612,1.0,0.12672650000000002,20,20,g0,Loose,Loose,Loose_L1,0
167,1.70554e+09,0,0,nan,nan,1.0,0.12672650000000002,20,20,g0,Loose,Loose,Native,0
169,1.70554e+09,1,1,1.20585,0.0595951,1.0,0.12672650000000002,20,20,g0,Loose,Loose,Loose_L1,0
171,1.70554e+09,1,1,1.19906,0.119422,1.0,0.12596649999999998,20,20,g0,Loose,Loose,Loose_L1,0
173,1.70554e+09,1,1,1.32565,0.129705,1.0,0.12672650000000002,20,20,g0,Loose,Loose,Loose_L1,0
175,1.70554e+09,1,1,1.30776,0.12791,1.0,0.12672650000000002,20,20,g0,Loose,Loose,Loose_L1,0
177,1.70554e+09,1,1,1.5612,0.156413,1.0,0.12672650000000002,20,20,g0,Loose,Loose,Loose_L1,0
179,1.70554e+09,1,1,1.45214,0.140708,1.0,0.127261,20,20,g0,Loose,Loose,Loose_L1,0
181,1.70554e+09,0,0,nan,nan,1.0,0.127261,20,20,g0,Loose,Loose,Native,0
183,1.70554e+09,1,1,1.42617,0.0703832,1.0,0.127261,20,20,g0,Loose,Loose,Loose_L1,0
185,1.70554e+09,1,1,1.333,0.128257,1.0,0.12808350000000002,20,20,g0,Loose,Loose,Loose_L1,0
187,1.70554e+09,1,1,1.49105,0.146299,1.0,0.128981,20,20,g0,Loose,Loose,Loose_L1,0
189,1.70554e+09,1,1,1.4789,0.142853,1.0,0.1320515,20,20,g0,Loose,Loose,Loose_L1,0
191,1.70554e+09,1,1,1.48342,0.142841,1.0,0.1344715,20,20,g0,Loose,Loose,Loose_L1,0
193,1.70554e+09,1,1,1.31454,0.127802,1.0,0.1320515,20,20,g0,Loose,Loose,Loose_L1,0
195,1.70554e+09,1,1,1.39193,0.136895,1.0,0.1344715,20,20,g0,Loose,Loose,Loose_L1,0
197,1.70554e+09,1,1,1.49472,0.146963,1.0,0.1356465,20,20,g0,Loose,Loose,Loose_L1,0
199,1.70554e+09,1,1,1.32577,0.127923,1.0,0.1356465,20,20,g0,Loose,Loose,Loose_L1,0
201,1.70554e+09,1,1,1.38062,0.135366,1.0,0.134882,20,20,g0,Loose,Loose,Loose_L1,0
203,1.70554e+09,1,1,1.46295,0.142683,1.0,0.1361305,20,20,g0,Loose,Loose,Loose_L1,0
205,1.70554e+09,1,1,1.50023,0.147289,1.0,0.1361305,20,20,g0,Loose,Loose,Loose_L1,0
207,1.70554e+09,1,1,1.58209,0.153708,1.0,0.1361305,20,20,g0,Loose,Loose,Loose_L1,0
209,1.70554e+09,1,1,1.60526,0.155056,1.0,0.1388015,20,20,g0,Loose,Loose,Loose_L1,0
211,1.70554e+09,1,1,1.6781,0.160471,1.0,0.1416955,20,20,g0,Loose,Loose,Loose_L1,0
213,1.70554e+09,1,1,1.4535,0.138251,1.0,0.1416955,20,20,g0,Loose,Loose,Loose_L1,0
215,1.70554e+09,1,1,1.54133,0.151384,1.0,0.142762,20,20,g0,Loose,Loose,Loose_L1,0
217,1.70554e+09,1,1,1.56411,0.153547,1.0,0.142847,20,20,g0,Loose,Loose,Loose_L1,0
219,1.70554e+09,1,1,1.31312,0.127779,1.0,0.142762,20,20,g0,Loose,Loose,Loose_L1,0
221,1.70554e+09,1,1,1.43523,0.141306,1.0,0.142762,20,20,g0,Loose,Loose,Loose_L1,0
223,1.70554e+09,1,1,1.47325,0.143508,1.0,0.142847,20,20,g0,Loose,Loose,Loose_L1,0
225,1.70554e+09,1,1,1.55761,0.151836,1.0,0.1431805,20,20,g0,Loose,Loose,Loose_L1,0
227,1.70554e+09,1,1,1.4441,0.138315,1.0,0.142847,20,20,g0,Loose,Loose,Loose_L1,0
229,1.70554e+09,1,1,1.46189,0.140424,1.0,0.142762,20,20,g0,Loose,Loose,Loose_L1,0
231,1.70554e+09,1,1,1.40733,0.134782,1.0,0.1419945,20,20,g0,Loose,Loose,Loose_L1,0
233,1.70554e+09,1,1,1.48883,0.145879,1.0,0.1430955,20,20,g0,Loose,Loose,Loose_L1,0
235,1.70554e+09,1,1,1.48999,0.146089,1.0,0.1446935,20,20,g0,Loose,Loose,Loose_L1,0
237,1.70554e+09,1,1,1.86151,0.181091,1.0,0.1446935,20,20,g0,Loose,Loose,Loose_L1,0
239,1.70554e+09,1,1,1.18274,0.111126,1.0,0.1446935,20,20,g0,Loose,Loose,Loose_L1,0
241,1.70554e+09,1,1,1.16579,0.116074,1.0,0.1446935,20,20,g0,Loose,Loose,Loose_L1,0
243,1.70554e+09,1,1,1.10702,0.108033,1.0,0.1446935,20,20,g0,Loose,Loose,Loose_L1,0
245,1.70554e+09,1,1,1.21848,0.124709,1.0,0.142407,20,20,g0,Loose,Loose,Loose_L1,0
247,1.70554e+09,1,1,1.83564,0.19201,1.0,0.142407,20,20,g0,Loose,Loose,Loose_L1,0
249,1.70554e+09,1,1,1.65282,0.153343,1.0,0.142407,20,20,g0,Loose,Loose,Loose_L1,0
251,1.70554e+09,1,1,1.74972,0.166656,1.0,0.142407,20,20,g0,Loose,Loose,Loose_L1,0
253,1.70554e+09,1,1,1.95685,0.172401,1.0,0.1446935,20,20,g0,Loose,Loose,Loose_L1,0
255,1.70554e+09,1,1,2.31506,0.224609,1.0,0.1446935,20,20,g0,Loose,Loose,Loose_L1,0
257,1.70554e+09,1,1,2.47677,0.232307,1.0,0.1446935,20,20,g0,Loose,Loose,Loose_L1,0
259,1.70554e+09,1,1,2.66621,0.248703,1.0,0.145984,20,20,g0,Loose,Loose,Loose_L1,0
261,1.70554e+09,1,1,2.31033,0.204997,1.0,0.1489625,20,20,g0,Loose,Loose,Loose_L1,0
263,1.70554e+09,1,1,2.00126,0.183991,1.0,0.1525895,20,20,g0,Loose,Loose,Loose_L1,0
265,1.70554e+09,1,1,1.67,0.159333,1.0,0.156338,20,20,g0,Loose,Loose,Loose_L1,0
