sequence_frame,timestamp,registration_success,weak_flag,weak_multiplier,q_weak,rolling_weak_fraction,rolling_q_median,rolling_successful_frames,rolling_q_frames,gate_candidate,state_before,state_after,selected_estimator,mode_switch
113,1.70658e+09,1,1,4.57854,0.378304,1.0,0.3177585,20,20,g0,Loose,Loose,Loose_L1,0
115,1.70658e+09,1,1,4.62856,0.349088,1.0,0.3177585,20,20,g0,Loose,Loose,Loose_L1,0
117,1.70658e+09,0,0,nan,nan,1.0,0.3177585,20,20,g0,Loose,Loose,Native,0
119,1.70658e+09,1,1,3.93012,0.174557,1.0,0.3177585,20,20,g0,Loose,Loose,Loose_L1,0
121,1.70658e+09,1,1,3.97106,0.300134,1.0,0.317154,20,20,g0,Loose,Loose,Loose_L1,0
123,1.70658e+09,1,1,3.81173,0.314303,1.0,0.31566649999999996,20,20,g0,Loose,Loose,Loose_L1,0
125,1.70658e+09,1,1,3.86146,0.328232,1.0,0.31566649999999996,20,20,g0,Loose,Loose,Loose_L1,0
127,1.70658e+09,1,1,3.92892,0.337676,1.0,0.317154,20,20,g0,Loose,Loose,Loose_L1,0
129,1.70658e+09,1,1,3.59224,0.302524,1.0,0.31566649999999996,20,20,g0,Loose,Loose,Loose_L1,0
131,1.70658e+09,1,1,4.73497,0.405807,1.0,0.31566649999999996,20,20,g0,Loose,Loose,Loose_L1,0
133,1.70658e+09,1,1,4.25023,0.321421,1.0,0.317154,20,20,g0,Loose,Loose,Loose_L1,0
135,1.70658e+09,1,1,3.8227,0.316289,1.0,0.317154,20,20,g0,Loose,Loose,Loose_L1,0
137,1.70658e+09,1,1,3.9035,0.334958,1.0,0.317154,20,20,g0,Loose,Loose,Loose_L1,0
139,1.70658e+09,1,1,4.5729,0.386618,1.0,0.3192255,20,20,g0,Loose,Loose,Loose_L1,0
141,1.70658e+09,1,1,4.20347,0.343487,1.0,0.32423250000000003,20,20,g0,Loose,Loose,Loose_L1,0
143,1.70658e+09,1,1,3.95364,0.327882,1.0,0.327463,20,20,g0,Loose,Loose,Loose_L1,0
145,1.70658e+09,1,1,4.2579,0.360014,1.0,0.32805700000000004,20,20,g0,Loose,Loose,Loose_L1,0
147,1.70658e+09,0,0,nan,nan,1.0,0.32805700000000004,20,20,g0,Loose,Loose,Native,0
149,1.70658e+09,0,0,nan,nan,1.0,0.32805700000000004,20,20,g0,Loose,Loose,Native,0
151,1.70658e+09,1,1,3.81264,0.117743,1.0,0.32805700000000004,20,20,g0,Loose,Loose,Loose_L1,0
153,1.70658e+09,1,1,4.04229,0.330915,1.0,0.3295735,20,20,g0,Loose,Loose,Loose_L1,0
155,1.70658e+09,1,1,4.15128,0.349789,1.0,0.33293649999999997,20,20,g0,Loose,Loose,Loose_L1,0
157,1.70658e+09,1,1,4.12538,0.345274,1.0,0.33293649999999997,20,20,g0,Loose,Loose,Loose_L1,0
159,1.70658e+09,0,0,nan,nan,1.0,0.33293649999999997,20,20,g0,Loose,Loose,Native,0
161,1.70658e+09,1,1,3.94335,0.179313,1.0,0.3295735,20,20,g0,Loose,Loose,Loose_L1,0
163,1.70658e+09,1,1,4.06288,0.333139,1.0,0.3295735,20,20,g0,Loose,Loose,Loose_L1,0
165,1.70658e+09,0,0,nan,nan,1.0,0.3295735,20,20,g0,Loose,Loose,Native,0
167,1.70658e+09,1,1,3.89848,0.176963,1.0,0.3295735,20,20,g0,Loose,Loose,Loose_L1,0
169,1.70658e+09,1,1,3.74947,0.304176,1.0,0.3295735,20,20,g0,Loose,Loose,Loose_L1,0
171,1.70658e+09,1,1,3.74604,0.318446,1.0,0.3295735,20,20,g0,Loose,Loose,Loose_L1,0
173,1.70658e+09,1,1,4.00293,0.342061,1.0,0.332027,20,20,g0,Loose,Loose,Loose_L1,0
175,1.70658e+09,1,1,4.36968,0.373595,1.0,0.332027,20,20,g0,Loose,Loose,Loose_L1,0
177,1.70658e+09,1,1,3.9805,0.334755,1.0,0.333947,20,20,g0,Loose,Loose,Loose_L1,0
179,1.70658e+09,1,1,4.5703,0.391341,1.0,0.333947,20,20,g0,Loose,Loose,Loose_L1,0
181,1.70658e+09,1,1,3.64968,0.301796,1.0,0.333947,20,20,g0,Loose,Loose,Loose_L1,0
183,1.70658e+09,1,1,3.77681,0.326009,1.0,0.333947,20,20,g0,Loose,Loose,Loose_L1,0
185,1.70658e+09,1,1,3.95388,0.336729,1.0,0.333947,20,20,g0,Loose,Loose,Loose_L1,0
187,1.70658e+09,1,1,3.77278,0.319635,1.0,0.332027,20,20,g0,Loose,Loose,Loose_L1,0
189,1.70658e+09,1,1,4.4983,0.38111,1.0,0.332027,20,20,g0,Loose,Loose,Loose_L1,0
191,1.70658e+09,1,1,3.56376,0.293228,1.0,0.332027,20,20,g0,Loose,Loose,Loose_L1,0
193,1.70658e+09,1,1,3.90488,0.333222,1.0,0.332027,20,20,g0,Loose,Loose,Loose_L1,0
195,1.70658e+09,1,1,4.2471,0.363341,1.0,0.3331805,20,20,g0,Loose,Loose,Loose_L1,0
197,1.70658e+09,1,1,3.78535,0.320301,1.0,0.3331805,20,20,g0,Loose,Loose,Loose_L1,0
199,1.70658e+09,1,1,3.91091,0.33411,1.0,0.3331805,20,20,g0,Loose,Loose,Loose_L1,0
201,1.70658e+09,1,1,3.88595,0.324579,1.0,0.32957400000000003,20,20,g0,Loose,Loose,Loose_L1,0
203,1.70658e+09,0,0,nan,nan,1.0,0.32957400000000003,20,20,g0,Loose,Loose,Native,0
205,1.70658e+09,1,1,4.32302,0.198727,1.0,0.32957400000000003,20,20,g0,Loose,Loose,Loose_L1,0
207,1.70658e+09,1,1,4.89789,0.392935,1.0,0.3296155,20,20,g0,Loose,Loose,Loose_L1,0
209,1.70658e+09,1,1,4.00931,0.323413,1.0,0.3296155,20,20,g0,Loose,Loose,Loose_L1,0
211,1.70658e+09,1,1,4.37118,0.367336,1.0,0.333666,20,20,g0,Loose,Loose,Loose_L1,0
213,1.70658e+09,1,1,4.18334,0.34621,1.0,0.3344325,20,20,g0,Loose,Loose,Loose_L1,0
215,1.70658e+09,1,1,3.97978,0.337361,1.0,0.3344325,20,20,g0,Loose,Loose,Loose_L1,0
217,1.70658e+09,0,0,nan,nan,1.0,0.3344325,20,20,g0,Loose,Loose,Native,0
219,1.70658e+09,1,1,4.17321,0.192313,1.0,0.333666,20,20,g0,Loose,Loose,Loose_L1,0
221,1.70658e+09,1,1,3.72923,0.305885,1.0,0.3296155,20,20,g0,Loose,Loose,Loose_L1,0
223,1.70658e+09,1,1,4.13815,0.357676,1.0,0.3296155,20,20,g0,Loose,Loose,Loose_L1,0
225,1.70658e+09,1,1,4.10743,0.348918,1.0,0.333666,20,20,g0,Loose,Loose,Loose_L1,0
227,1.70658e+09,1,1,4.11512,0.342035,1.0,0.3354195,20,20,g0,Loose,Loose,Loose_L1,0
229,1.70658e+09,1,1,4.49314,0.381406,1.0,0.3357355,20,20,g0,Loose,Loose,Loose_L1,0
231,1.70658e+09,1,1,4.16958,0.343469,1.0,0.339698,20,20,g0,Loose,Loose,Loose_L1,0
233,1.70658e+09,1,1,3.92013,0.328668,1.0,0.3357355,20,20,g0,Loose,Loose,Loose_L1,0
235,1.70658e+09,1,1,4.4753,0.383998,1.0,0.339698,20,20,g0,Loose,Loose,Loose_L1,0
237,1.70658e+09,1,1,4.22928,0.352928,1.0,0.342752,20,20,g0,Loose,Loose,Loose_L1,0
239,1.70658e+09,1,1,4.52629,0.383211,1.0,0.342752,20,20,g0,Loose,Loose,Loose_L1,0
241,1.70658e+09,0,0,nan,nan,1.0,0.342752,20,20,g0,Loose,Loose,Native,0
243,1.70658e+09,1,1,4.41148,0.200619,1.0,0.342752,20,20,g0,Loose,Loose,Loose_L1,0
245,1.70658e+09,1,1,4.35926,0.34792,1.0,0.3448395,20,20,g0,Loose,Loose,Loose_L1,0
247,1.70658e+09,1,1,3.75982,0.30916,1.0,0.3448395,20,20,g0,Loose,Loose,Loose_L1,0
249,1.70658e+09,1,1,4.15763,0.354328,1.0,0.347065,20,20,g0,Loose,Loose,Loose_L1,0
251,1.70658e+09,1,1,4.40363,0.367734,1.0,0.347065,20,20,g0,Loose,Loose,Loose_L1,0
253,1.70658e+09,1,1,4.37459,0.36324,1.0,0.34841900000000003,20,20,g0,Loose,Loose,Loose_L1,0
255,1.70658e+09,1,1,4.23116,0.35647,1.0,0.34841900000000003,20,20,g0,Loose,Loose,Loose_L1,0
257,1.70658e+09,1,1,4.3351,0.366188,1.0,0.350923,20,20,g0,Loose,Loose,Loose_L1,0
259,1.70658e+09,1,1,4.03995,0.335086,1.0,0.350923,20,20,g0,Loose,Loose,Loose_L1,0
261,1.70658e+09,1,1,4.02241,0.338779,1.0,0.350923,20,20,g0,Loose,Loose,Loose_L1,0
263,1.70658e+09,1,1,4.17412,0.357179,1.0,0.353628,20,20,g0,Loose,Loose,Loose_L1,0
265,1.70658e+09,1,1,4.24525,0.356639,1.0,0.353628,20,20,g0,Loose,Loose,Loose_L1,0
267,1.70658e+09,1,1,4.16785,0.347221,1.0,0.353628,20,20,g0,Loose,Loose,Loose_L1,0
269,1.70658e+09,1,1,4.25395,0.3585,1.0,0.355399,20,20,g0,Loose,Loose,Loose_L1,0
271,1.70658e+09,1,1,3.99282,0.334541,1.0,0.353628,20,20,g0,Loose,Loose,Loose_L1,0
273,1.70658e+09,1,1,4.19444,0.350895,1.0,0.353628,20,20,g0,Loose,Loose,Loose_L1,0
275,1.70658e+09,1,1,4.24212,0.361479,1.0,0.355399,20,20,g0,Loose,Loose,Loose_L1,0
277,1.70658e+09,1,1,4.14441,0.346796,1.0,0.353628,20,20,g0,Loose,Loose,Loose_L1,0
279,1.70658e+09,1,1,3.86163,0.326309,1.0,0.35261149999999997,20,20,g0,Loose,Loose,Loose_L1,0
281,1.70658e+09,1,1,4.20509,0.361972,1.0,0.35261149999999997,20,20,g0,Loose,Loose,Loose_L1,0
283,1.70658e+09,1,1,3.7561,0.338653,1.0,0.35261149999999997,20,20,g0,Loose,Loose,Loose_L1,0
285,1.70658e+09,1,1,4.45204,0.375283,1.0,0.355399,20,20,g0,Loose,Loose,Loose_L1,0
287,1.70658e+09,1,1,4.34936,0.363375,1.0,0.3565545,20,20,g0,Loose,Loose,Loose_L1,0
289,1.70658e+09,1,1,4.3659,0.370096,1.0,0.35690900000000003,20,20,g0,Loose,Loose,Loose_L1,0
291,1.70658e+09,1,1,4.11275,0.344381,1.0,0.3565545,20,20,g0,Loose,Loose,Loose_L1,0
293,1.70658e+09,1,1,4.06736,0.345703,1.0,0.3536825,20,20,g0,Loose,Loose,Loose_L1,0
295,1.70658e+09,1,1,3.94644,0.331168,1.0,0.349058,20,20,g0,Loose,Loose,Loose_L1,0
297,1.70658e+09,1,1,3.3867,0.266756,1.0,0.3470085,20,20,g0,Loose,Loose,Loose_L1,0
299,1.70658e+09,1,1,3.36301,0.296217,1.0,0.3470085,20,20,g0,Loose,Loose,Loose_L1,0
301,1.70658e+09,1,1,3.89934,0.346907,1.0,0.34706400000000004,20,20,g0,Loose,Loose,Loose_L1,0
303,1.70658e+09,1,1,3.98473,0.316334,1.0,0.3468515,20,20,g0,Loose,Loose,Loose_L1,0
305,1.70658e+09,1,1,3.62457,0.309114,1.0,0.3462495,20,20,g0,Loose,Loose,Loose_L1,0
307,1.70658e+09,1,1,4.26449,0.367351,1.0,0.3462495,20,20,g0,Loose,Loose,Loose_L1,0
309,1.70658e+09,1,1,4.00658,0.309321,1.0,0.34504199999999996,20,20,g0,Loose,Loose,Loose_L1,0
311,1.70658e+09,1,1,4.00774,0.336813,1.0,0.34504199999999996,20,20,g0,Loose,Loose,Loose_L1,0
313,1.70658e+09,1,1,4.30234,0.363752,1.0,0.34504199999999996,20,20,g0,Loose,Loose,Loose_L1,0
315,1.70658e+09,1,1,4.73063,0.396245,1.0,0.34504199999999996,20,20,g0,Loose,Loose,Loose_L1,0
317,1.70658e+09,1,1,5.22751,0.425402,1.0,0.34504199999999996,20,20,g0,Loose,Loose,Loose_L1,0
319,1.70658e+09,1,1,4.0818,0.330863,1.0,0.34504199999999996,20,20,g0,Loose,Loose,Loose_L1,0
321,1.70658e+09,1,1,4.33356,0.367158,1.0,0.34504199999999996,20,20,g0,Loose,Loose,Loose_L1,0
323,1.70658e+09,1,1,4.38429,0.366272,1.0,0.346305,20,20,g0,Loose,Loose,Loose_L1,0
325,1.70658e+09,1,1,3.92857,0.327284,1.0,0.34504199999999996,20,20,g0,Loose,Loose,Loose_L1,0
327,1.70658e+09,1,1,4.00073,0.343721,1.0,0.344051,20,20,g0,Loose,Loose,Loose_L1,0
329,1.70658e+09,1,1,4.66191,0.393781,1.0,0.344051,20,20,g0,Loose,Loose,Loose_L1,0
331,1.70658e+09,1,1,5.10105,0.394239,1.0,0.344712,20,20,g0,Loose,Loose,Loose_L1,0
333,1.70658e+09,1,1,4.20797,0.335821,1.0,0.340267,20,20,g0,Loose,Loose,Loose_L1,0
335,1.70658e+09,1,1,4.53277,0.381833,1.0,0.345314,20,20,g0,Loose,Loose,Loose_L1,0
337,1.70658e+09,1,1,5.19313,0.431784,1.0,0.3553295,20,20,g0,Loose,Loose,Loose_L1,0
339,1.70658e+09,1,1,4.54084,0.366092,1.0,0.36492199999999997,20,20,g0,Loose,Loose,Loose_L1,0
341,1.70658e+09,1,1,5.15342,0.417603,1.0,0.366182,20,20,g0,Loose,Loose,Loose_L1,0
343,1.70658e+09,1,1,4.90607,0.386951,1.0,0.366715,20,20,g0,Loose,Loose,Loose_L1,0
345,1.70658e+09,1,1,4.79065,0.381303,1.0,0.3672545,20,20,g0,Loose,Loose,Loose_L1,0
347,1.70658e+09,1,1,5.01419,0.406824,1.0,0.3742305,20,20,g0,Loose,Loose,Loose_L1,0
349,1.70658e+09,1,1,5.07634,0.404627,1.0,0.381568,20,20,g0,Loose,Loose,Loose_L1,0
351,1.70658e+09,1,1,5.60899,0.449911,1.0,0.38439199999999996,20,20,g0,Loose,Loose,Loose_L1,0
353,1.70658e+09,1,1,6.49958,0.513062,1.0,0.390366,20,20,g0,Loose,Loose,Loose_L1,0
355,1.70658e+09,1,1,5.46315,0.419812,1.0,0.390366,20,20,g0,Loose,Loose,Loose_L1,0
357,1.70658e+09,1,1,5.82044,0.454872,1.0,0.390366,20,20,g0,Loose,Loose,Loose_L1,0
359,1.70658e+09,1,1,5.04015,0.390066,1.0,0.3919235,20,20,g0,Loose,Loose,Loose_L1,0
361,1.70658e+09,1,1,5.2755,0.416901,1.0,0.39400999999999997,20,20,g0,Loose,Loose,Loose_L1,0
363,1.70658e+09,1,1,5.5518,0.445876,1.0,0.39943300000000004,20,20,g0,Loose,Loose,Loose_L1,0
365,1.70658e+09,1,1,5.08667,0.401917,1.0,0.403272,20,20,g0,Loose,Loose,Loose_L1,0
367,1.70658e+09,1,1,5.21192,0.417557,1.0,0.4057255,20,20,g0,Loose,Loose,Loose_L1,0
369,1.70658e+09,1,1,5.62134,0.446655,1.0,0.4118625,20,20,g0,Loose,Loose,Loose_L1,0
371,1.70658e+09,1,1,5.17519,0.406974,1.0,0.4119375,20,20,g0,Loose,Loose,Loose_L1,0
373,1.70658e+09,1,1,4.80984,0.385155,1.0,0.4119375,20,20,g0,Loose,Loose,Loose_L1,0
375,1.70658e+09,1,1,4.83796,0.398046,1.0,0.4119375,20,20,g0,Loose,Loose,Loose_L1,0
377,1.70658e+09,1,1,5.85044,0.478689,1.0,0.4119375,20,20,g0,Loose,Loose,Loose_L1,0
379,1.70658e+09,1,1,6.02695,0.472704,1.0,0.417229,20,20,g0,Loose,Loose,Loose_L1,0
381,1.70658e+09,1,1,5.18897,0.396787,1.0,0.4119375,20,20,g0,Loose,Loose,Loose_L1,0
383,1.70658e+09,1,1,5.22303,0.413266,1.0,0.41508350000000005,20,20,g0,Loose,Loose,Loose_L1,0
385,1.70658e+09,1,1,5.31494,0.422418,1.0,0.417229,20,20,g0,Loose,Loose,Loose_L1,0
387,1.70658e+09,1,1,5.25193,0.411235,1.0,0.417229,20,20,g0,Loose,Loose,Loose_L1,0
389,1.70658e+09,1,1,5.26024,0.42136,1.0,0.4186845,20,20,g0,Loose,Loose,Loose_L1,0
391,1.70658e+09,1,1,5.43786,0.437115,1.0,0.4186845,20,20,g0,Loose,Loose,Loose_L1,0
393,1.70658e+09,1,1,4.97089,0.396487,1.0,0.417229,20,20,g0,Loose,Loose,Loose_L1,0
395,1.70658e+09,1,1,5.48412,0.441235,1.0,0.417229,20,20,g0,Loose,Loose,Loose_L1,0
397,1.70658e+09,1,1,5.26621,0.420129,1.0,0.417229,20,20,g0,Loose,Loose,Loose_L1,0
399,1.70658e+09,1,1,4.78349,0.385221,1.0,0.417229,20,20,g0,Loose,Loose,Loose_L1,0
401,1.70658e+09,1,1,6.0691,0.49488,1.0,0.41884299999999997,20,20,g0,Loose,Loose,Loose_L1,0
403,1.70658e+09,1,1,5.16909,0.403208,1.0,0.41541150000000004,20,20,g0,Loose,Loose,Loose_L1,0
405,1.70658e+09,1,1,5.02213,0.401524,1.0,0.41541150000000004,20,20,g0,Loose,Loose,Loose_L1,0
407,1.70658e+09,1,1,5.85867,0.46878,1.0,0.4166975,20,20,g0,Loose,Loose,Loose_L1,0
409,1.70658e+09,1,1,5.59189,0.440709,1.0,0.4166975,20,20,g0,Loose,Loose,Loose_L1,0
411,1.70658e+09,1,1,5.55451,0.436042,1.0,0.42074449999999997,20,20,g0,Loose,Loose,Loose_L1,0
413,1.70658e+09,1,1,5.63337,0.446611,1.0,0.421889,20,20,g0,Loose,Loose,Loose_L1,0
415,1.70658e+09,1,1,5.21635,0.406234,1.0,0.421889,20,20,g0,Loose,Loose,Loose_L1,0
417,1.70658e+09,1,1,5.8552,0.459889,1.0,0.421889,20,20,g0,Loose,Loose,Loose_L1,0
419,1.70658e+09,1,1,5.66866,0.443524,1.0,0.421889,20,20,g0,Loose,Loose,Loose_L1,0
421,1.70658e+09,0,0,nan,nan,1.0,0.421889,20,20,g0,Loose,Loose,Native,0
423,1.70658e+09,1,1,5.80875,0.254138,1.0,0.421889,20,20,g0,Loose,Loose,Loose_L1,0
425,1.70658e+09,1,1,6.01876,0.450221,1.0,0.42923,20,20,g0,Loose,Loose,Loose_L1,0
427,1.70658e+09,1,1,5.94603,0.45961,1.0,0.4365785,20,20,g0,Loose,Loose,Loose_L1,0
429,1.70658e+09,1,1,5.98873,0.463458,1.0,0.43891199999999997,20,20,g0,Loose,Loose,Loose_L1,0
431,1.70658e+09,1,1,5.80399,0.444417,1.0,0.44097200000000003,20,20,g0,Loose,Loose,Loose_L1,0
433,1.70658e+09,1,1,5.72688,0.445069,1.0,0.4423795,20,20,g0,Loose,Loose,Loose_L1,0
435,1.70658e+09,1,1,5.8232,0.452301,1.0,0.4439705,20,20,g0,Loose,Loose,Loose_L1,0
437,1.70658e+09,1,1,5.22981,0.403392,1.0,0.4439705,20,20,g0,Loose,Loose,Loose_L1,0
439,1.70658e+09,1,1,5.43192,0.429542,1.0,0.4439705,20,20,g0,Loose,Loose,Loose_L1,0
441,1.70658e+09,1,1,5.74155,0.45179,1.0,0.444743,20,20,g0,Loose,Loose,Loose_L1,0
443,1.70658e+09,1,1,5.4016,0.423161,1.0,0.4439705,20,20,g0,Loose,Loose,Loose_L1,0
445,1.70658e+09,1,1,6.35291,0.500804,1.0,0.444743,20,20,g0,Loose,Loose,Loose_L1,0
447,1.70658e+09,1,1,5.88462,0.454613,1.0,0.44584,20,20,g0,Loose,Loose,Loose_L1,0
449,1.70658e+09,1,1,6.12213,0.472201,1.0,0.44584,20,20,g0,Loose,Loose,Loose_L1,0
451,1.70658e+09,1,1,5.53271,0.423082,1.0,0.44584,20,20,g0,Loose,Loose,Loose_L1,0
453,1.70658e+09,1,1,5.57391,0.435772,1.0,0.44584,20,20,g0,Loose,Loose,Loose_L1,0
455,1.70658e+09,1,1,5.82762,0.462392,1.0,0.44764499999999996,20,20,g0,Loose,Loose,Loose_L1,0
457,1.70658e+09,1,1,6.09267,0.476515,1.0,0.4510055,20,20,g0,Loose,Loose,Loose_L1,0
459,1.70658e+09,1,1,5.30116,0.411753,1.0,0.44764499999999996,20,20,g0,Loose,Loose,Loose_L1,0
461,1.70658e+09,1,1,5.35549,0.420216,1.0,0.44764499999999996,20,20,g0,Loose,Loose,Loose_L1,0
463,1.70658e+09,1,1,5.96,0.501594,1.0,0.4510055,20,20,g0,Loose,Loose,Loose_L1,0
465,1.70658e+09,1,1,5.36142,0.409582,1.0,0.44842950000000004,20,20,g0,Loose,Loose,Loose_L1,0
467,1.70658e+09,1,1,6.31068,0.498345,1.0,0.44842950000000004,20,20,g0,Loose,Loose,Loose_L1,0
469,1.70658e+09,1,1,6.04242,0.434254,1.0,0.444743,20,20,g0,Loose,Loose,Loose_L1,0
471,1.70658e+09,1,1,5.70194,0.436537,1.0,0.440803,20,20,g0,Loose,Loose,Loose_L1,0
473,1.70658e+09,1,1,5.01813,0.392994,1.0,0.4361545,20,20,g0,Loose,Loose,Loose_L1,0
475,1.70658e+09,1,1,5.28816,0.425661,1.0,0.435013,20,20,g0,Loose,Loose,Loose_L1,0
477,1.70658e+09,1,1,5.44254,0.431391,1.0,0.435013,20,20,g0,Loose,Loose,Loose_L1,0
479,1.70658e+09,1,1,5.46381,0.401431,1.0,0.435013,20,20,g0,Loose,Loose,Loose_L1,0
481,1.70658e+09,1,1,5.76778,0.450218,1.0,0.435013,20,20,g0,Loose,Loose,Loose_L1,0
