sequence,selection_rank,event_timestamp,timestamp,relative_time_s,native_x,native_y,native_z,intervention_x,intervention_y,intervention_z,separation_translation_m,separation_rotation_rad,native_error_m,intervention_error_m,native_used,intervention_used
stairs_alpha,1,1705542315.8823693,1705542315.978669,0.09629964828491211,-11.150300329455773,2.3346941170210616,-0.24756635893000908,-11.147658372223267,2.3358275538220994,-0.28591529780508157,0.03845654339438712,0.0020185156319835035,0.31429445479805185,0.31585106833427545,420,424
stairs_alpha,1,1705542315.8823693,1705542316.0795438,0.1971745491027832,-11.137989135578046,2.342150636378574,-0.19404097471893428,-11.13566413315083,2.3411124855511645,-0.2235434864818084,0.02961218657488063,0.0031688771994436917,0.3199968941082723,0.323427428182414,431,434
stairs_alpha,1,1705542315.8823693,1705542316.178494,0.2961246967315674,-11.138565327570246,2.3469024976963366,-0.13624520851702532,-11.135200934959363,2.346030872719816,-0.16212647829584004,0.026113578711154318,0.004247125854626737,0.3208752451808976,0.32360665427168445,409,407
stairs_alpha,1,1705542315.8823693,1705542316.278851,0.3964817523956299,-11.13911023943025,2.3474924836884927,-0.08838769392177037,-11.134833915419074,2.3457998999923713,-0.11260356706053898,0.02464873827379146,0.004995180540248826,0.3196670511318275,0.3242959511383869,447,445
stairs_alpha,1,1705542315.8823693,1705542316.3793502,0.4969809055328369,-11.139282764843154,2.3487395021937485,-0.053131288297276424,-11.133474920753544,2.34555031258758,-0.07555458563788398,0.023381750296729373,0.0014335461892480497,0.31628106262946865,0.32256788196727076,460,471
stairs_alpha,1,1705542315.8823693,1705542316.4791381,0.596768856048584,-11.143095575545994,2.3445177543555777,-0.0342626816210575,-11.140879897499595,2.3392136264617744,-0.05790746121066914,0.024333487291393983,0.0051362982127401285,0.31020417498591435,0.3169496358011713,528,523
stairs_alpha,1,1705542315.8823693,1705542316.5789106,0.6965413093566895,-11.152196348856918,2.3313448838707242,-0.0350528656547891,-11.151227156513714,2.32822890412035,-0.057304315227539315,0.02248945690076828,0.00930270351205855,0.30401509120085285,0.30792266740644647,546,552
stairs_alpha,1,1705542315.8823693,1705542316.6788306,0.7964613437652588,-11.164799813620116,2.3033181295226473,-0.03379663472376204,-11.161583376655154,2.301788425725086,-0.05722378222062946,0.023696343606088875,0.008009853802056434,0.2999866183157473,0.3005868181805302,551,551
stairs_alpha,1,1705542315.8823693,1705542316.7786827,0.8963134288787842,-11.179845110367811,2.2680581857259927,-0.03913982503861019,-11.175547169051022,2.2693275777062905,-0.059458207980726485,0.02080673787369587,0.0023348817942588657,0.28991630228566695,0.2869958340844701,549,550
stairs_alpha,1,1705542315.8823693,1705542316.8796031,0.9972338676452637,-11.19460251689451,2.2268129836928305,-0.05157713606284048,-11.190668173492107,2.2263612926005467,-0.07214796274903473,0.0209485558787311,0.007785593964837029,0.2814100745007736,0.2807182889793447,543,541
stairs_alpha,1,1705542315.8823693,1705542316.9787571,1.0963878631591797,-11.213877791341524,2.1833926407473334,-0.05178544242089872,-11.209577947276589,2.185201411204604,-0.06920613302881473,0.018034432921680218,0.004128048818139036,0.27950578632862644,0.27800928175697026,539,533
stairs_alpha,1,1705542315.8823693,1705542317.0788007,1.1964313983917236,-11.231096953485775,2.1334239132534765,-0.04870236336752615,-11.226944326890871,2.1339822803814563,-0.06129544516053698,0.013271842017284893,0.001493705410892604,0.27631415074510124,0.2771541534663722,539,547
stairs_alpha,1,1705542315.8823693,1705542317.1780689,1.2956995964050293,-11.255265127682442,2.0744984448368373,-0.04206882304448667,-11.252230576822697,2.074901922221467,-0.05245726316872462,0.010830096081529614,0.0005367835060475728,0.278097830338904,0.2790504100265112,565,575
stairs_alpha,1,1705542315.8823693,1705542317.2781575,1.3957881927490234,-11.28917993747389,2.008209371939372,-0.04202686832362701,-11.28493960929399,2.0074418834359236,-0.054010049649609315,0.01273444370074873,0.0016871712110217022,0.28466905853773455,0.28771977909885876,572,569
stairs_alpha,1,1705542315.8823693,1705542317.3781314,1.4957621097564697,-11.332935389475246,1.9305480594462447,-0.04172347943049842,-11.328941840936578,1.931797452122992,-0.05367889299018874,0.012666543544891612,0.010505871946782918,0.2908775736870382,0.2926722039612782,587,589
stairs_alpha,1,1705542315.8823693,1705542317.4781473,1.595777988433838,-11.377997807232031,1.858464813201193,-0.041281191693786023,-11.376890387457344,1.8605811672545445,-0.05600547224750124,0.01491676140658628,0.025981244761561995,0.29938343778195664,0.3004349577605768,553,541
stairs_alpha,1,1705542315.8823693,1705542317.5782902,1.6959209442138672,-11.42561594022798,1.783607126729962,-0.04231140831690755,-11.422849771120614,1.783837613448919,-0.0584163552068957,0.01634240282172419,0.011433228139134574,0.3090629566697864,0.31395049700405026,592,576
stairs_alpha,1,1705542315.8823693,1705542317.6781728,1.7958035469055176,-11.471044171160601,1.7119820842085707,-0.037664100388462296,-11.46712052522601,1.710522424896832,-0.056753687750131065,0.019543232802306933,0.008313499083218783,0.3150353755302439,0.3237200244129144,538,528
stairs_alpha,1,1705542315.8823693,1705542317.778174,1.8958046436309814,-11.519686907453568,1.6353175013267225,-0.0462532527302158,-11.514429773759266,1.633748804880319,-0.0630208889630463,0.0176423322737459,0.017521514943197935,0.32757947530028475,0.33632806678686733,527,528
stairs_alpha,1,1705542315.8823693,1705542317.8780048,1.9956355094909668,-11.561306002965809,1.5551826421254789,-0.05913838481422645,-11.555741503816298,1.5520603059754867,-0.07737738335014716,0.019322880256622484,0.017499352203241617,0.338304591405783,0.34859141044971353,576,586
stairs_alpha,1,1705542315.8823693,1705542317.9779327,2.0955634117126465,-11.603100598791595,1.472678752439885,-0.06935358752140985,-11.59477097007074,1.467931584693001,-0.08784861338286526,0.020832289789176995,0.012382994419272075,0.34073688049979883,0.3531829255907024,574,577
stairs_alpha,1,1705542315.8823693,1705542318.0781345,2.195765256881714,-11.644903110875575,1.3858240623994336,-0.07168275507544092,-11.63583235817058,1.3798304330748947,-0.0939184199467889,0.024751301771544037,0.019657329811877105,0.3352409735222901,0.34970126212523944,619,618
stairs_alpha,1,1705542315.8823693,1705542318.178115,2.295745611190796,-11.686895124050869,1.3077279173247691,-0.0667303798721845,-11.674959735980776,1.2997513765319335,-0.0903424477306875,0.02763346594182557,0.01821008719512688,0.3289837745972351,0.34596685511119774,548,575
stairs_alpha,1,1705542315.8823693,1705542318.2783585,2.395989179611206,-11.727994762806802,1.2303550251026654,-0.06296590691125403,-11.714686248001128,1.2210592284030817,-0.08868767889105078,0.030416080556072495,0.017979029387284434,0.3243527786096148,0.34304650947872756,575,581
stairs_alpha,1,1705542315.8823693,1705542318.3775284,2.495159149169922,-11.774986831709597,1.1512210456894756,-0.06409956617307416,-11.760164505497912,1.14244487502389,-0.0895124056124243,0.03070073181940947,0.020860617982995218,0.3181385017190437,0.3360033807623462,604,606
stairs_alpha,1,1705542315.8823693,1705542318.4777908,2.595421552658081,-11.828140463915341,1.0720264146110883,-0.06361857824336042,-11.811949143327523,1.0646572959812883,-0.09129376500050024,0.032899524826358044,0.01672198507023021,0.3050954441378724,0.32033764859018804,621,614
stairs_alpha,1,1705542315.8823693,1705542318.5778222,2.695452928543091,-11.891415997498987,0.9933398021646207,-0.06547275525294166,-11.874317999623843,0.9845436997072459,-0.09033564155375373,0.031430495780152314,0.013344926398312817,0.29574507841335645,0.31100487447805675,657,662
stairs_alpha,1,1705542315.8823693,1705542318.678053,2.7956836223602295,-11.962019762382667,0.913375735569042,-0.06035596677555616,-11.943872123065631,0.9033102058098055,-0.08612820818658906,0.033088670711647714,0.012958082560558748,0.2930449090843623,0.3093184423860028,670,671
stairs_alpha,1,1705542315.8823693,1705542318.777974,2.8956046104431152,-12.035473139094876,0.8309977408530098,-0.053891969541212115,-12.014951536955781,0.8208819525308939,-0.07533012934340522,0.031353788023738324,0.013321823873573715,0.289322288489067,0.30686554807404154,650,644
stairs_alpha,1,1705542315.8823693,1705542318.8782244,2.9958550930023193,-12.110432207820503,0.7491013956852413,-0.05077756038901016,-12.092300686475355,0.7394022870471226,-0.07189207672969888,0.029472827739543798,0.014097442788284816,0.28955402495331767,0.3067682740290332,639,648
stairs_alpha,1,1705542315.8823693,1705542318.9784577,3.096088409423828,-12.19794559526391,0.659961723193975,-0.05221208488818524,-12.178535907830133,0.6513868210349658,-0.07227679364572615,0.02920372323588963,0.018831706977141205,0.29371383736750045,0.31159934941121437,702,721
stairs_alpha,1,1705542315.8823693,1705542319.0783172,3.1959478855133057,-12.286331807541199,0.5685207313272136,-0.05295805450530522,-12.268911920124074,0.5565731542303909,-0.06228388332364726,0.02309043436704581,0.05431010522244883,0.2982763115227256,0.3172348373068368,618,612
stairs_alpha,1,1705542315.8823693,1705542319.178197,3.295827627182007,-12.37773713721923,0.4741554912280179,-0.053897490495443845,-12.357184467504252,0.46261663673972264,-0.06438707821131046,0.025799008619787137,0.01970471843009322,0.2955997273656091,0.3155019100894617,680,681
stairs_alpha,1,1705542315.8823693,1705542319.2781072,3.395737886428833,-12.465044749619098,0.3854001524926336,-0.05176555536517141,-12.442838222867199,0.37288102866846695,-0.060141175896381294,0.02683298922950021,0.02004104784456682,0.2981522947081575,0.31846323381348884,678,674
stairs_alpha,1,1705542315.8823693,1705542319.3780365,3.4956672191619873,-12.549905009579648,0.29806698838805845,-0.05073099237202211,-12.524604118299075,0.28493973204707723,-0.05941548469515101,0.02979732144914487,0.019392618196091286,0.30121240655533327,0.32268436108635884,676,671
stairs_alpha,1,1705542315.8823693,1705542319.4778504,3.5954811573028564,-12.630619380542292,0.21921375806936094,-0.049820538531945124,-12.606128594708231,0.20802668174914274,-0.059486189599498696,0.028607238208606087,0.018095895230205283,0.30434583949398486,0.32399727978302567,705,718
stairs_alpha,1,1705542315.8823693,1705542319.5778322,3.695462942123413,-12.716349193125867,0.13316857823753603,-0.054204699798726164,-12.6943441125378,0.12328263391189331,-0.0649040964225518,0.026390008620895144,0.021242690639703847,0.30339739620840056,0.32069974311676425,723,717
stairs_alpha,1,1705542315.8823693,1705542319.6777031,3.7953338623046875,-12.794544813924126,0.03712981191638942,-0.06050917271715428,-12.772946777007212,0.02845003539448232,-0.07080762470629753,0.02545332655091188,0.0160803262984964,0.2966705334779623,0.3121530305020373,722,720
stairs_alpha,1,1705542315.8823693,1705542319.7785778,3.8962085247039795,-12.86883110508024,-0.0672023363159524,-0.055147260308733514,-12.845731439215244,-0.07589024645565434,-0.06492561792208457,0.026546009554819106,0.016568937169903607,0.3048935828928375,0.3207630996711367,760,764
stairs_alpha,1,1705542315.8823693,1705542319.8777375,3.995368242263794,-12.938256136338001,-0.1745367558605313,-0.052442133176160255,-12.91248824356114,-0.184311949714989,-0.06462437370337282,0.03013213728421648,0.006626054377122387,0.31275432057562447,0.33092375324902473,742,723
stairs_alpha,1,1705542315.8823693,1705542319.9781015,4.09573221206665,-12.995783942924268,-0.2825834068599695,-0.058899927777044114,-12.968445828813206,-0.29321984492346553,-0.07218883195432929,0.03220405676403385,0.007857212143567608,0.3138688746672111,0.3336075567210896,756,758
stairs_alpha,1,1705542315.8823693,1705542320.0782676,4.1958982944488525,-13.046150780775704,-0.38810176206735614,-0.06762900774882835,-13.020420940567229,-0.40066589162411637,-0.08430787366995562,0.03313708793916073,0.010733028698086405,0.30985153308790003,0.332131532406802,776,766
