sequence,selection_rank,horizon_s,available,native_rpe_m,intervention_rpe_m,delta_rpe_m,native_endpoint_error_m,intervention_endpoint_error_m,native_suffix_ate_m,intervention_suffix_ate_m,delta_suffix_ate_m,native_rot_rpe_rad,intervention_rot_rpe_rad,native_end_time,intervention_end_time
stairs_alpha,3,10.0,1,0.08156137364576965,0.07724556232390167,-0.0043158113218679794,0.1501600169530605,0.15141706582636147,0.18142933962925242,0.18154658910156315,0.00011724947231073202,0.007606002966715954,0.007520722383039771,1705542478.5698903,1705542478.5698903
stairs_alpha,3,20.0,1,0.0989101651012743,0.090716924563996,-0.00819324053727831,0.1591236589897466,0.15833488616879426,0.1747142887819929,0.1753170852089501,0.0006027964269571806,0.0087198644186248,0.006857707244789555,1705542488.5696313,1705542488.5696313
stairs_alpha,4,1.0,1,0.03746062328079966,0.029989971571582588,-0.007470651709217072,0.2317176395707531,0.23147235230713883,0.2144522911634763,0.21420059922638512,-0.00025169193709118076,0.004250932470737802,0.007444295019979262,1705542493.367932,1705542493.367932
stairs_alpha,4,5.0,1,0.06014512411772814,0.05535876315713449,-0.00478636096059365,0.24498042050095728,0.24532809211345094,0.22947009030709897,0.22948983481151725,1.9744504418273134e-05,0.00925521665413686,0.008803974640397162,1705542497.3680937,1705542497.3680937
stairs_alpha,4,10.0,1,0.07312827108354403,0.06960033866142958,-0.003527932422114452,0.24741177302614054,0.2477912357285053,0.2347357186963826,0.23480310123545178,6.73825390691829e-05,0.008446123537079998,0.00809153376272213,1705542502.3674824,1705542502.3674824
stairs_alpha,4,20.0,1,0.05021561373872454,0.04444408781533236,-0.005771525923392182,0.22817406494630918,0.22864133388474733,0.23270708577012456,0.23291707125328054,0.0002099854831559833,0.012169937059704487,0.011562787420658563,1705542512.3670893,1705542512.3670893
stairs_alpha,5,1.0,1,0.03156347382000104,0.024769650612165246,-0.006793823207835795,0.20342965785755926,0.20444784110481254,0.21184979488877217,0.2110209896466379,-0.0008288052421342729,0.01965152409137478,0.019363068349582038,1705542563.364069,1705542563.364069
stairs_alpha,5,5.0,1,0.29651154527140755,0.2878532618737869,-0.008658283397620647,0.24872049218023543,0.25008996595775757,0.15991599700465797,0.16092963205231683,0.0010136350476588618,0.06658234902328199,0.06887448368986164,1705542567.363517,1705542567.363517
stairs_alpha,5,10.0,1,0.28804167368257566,0.2811696145847425,-0.006872059097833172,0.21152327185408049,0.2115739581264494,0.20312993276970687,0.20301293386462782,-0.00011699890507904653,0.05078157557976968,0.052950287655403876,1705542572.3624847,1705542572.3624847
stairs_alpha,5,20.0,1,0.1330785395541786,0.14132146093093065,0.00824292137675206,0.09380255888022601,0.09348137983969368,0.19467788821605259,0.1945219027538434,-0.00015598546220918497,0.019751273213876663,0.023875153220626118,1705542582.361228,1705542582.361228
tunnel1_gamma,1,1.0,0,,,,,,,,,,,,
tunnel1_gamma,1,5.0,0,,,,,,,,,,,,
tunnel1_gamma,1,10.0,0,,,,,,,,,,,,
tunnel1_gamma,1,20.0,0,,,,,,,,,,,,
tunnel1_gamma,2,1.0,0,,,,,,,,,,,,
tunnel1_gamma,2,5.0,0,,,,,,,,,,,,
tunnel1_gamma,2,10.0,0,,,,,,,,,,,,
tunnel1_gamma,2,20.0,0,,,,,,,,,,,,
tunnel1_gamma,3,1.0,0,,,,,,,,,,,,
tunnel1_gamma,3,5.0,0,,,,,,,,,,,,
tunnel1_gamma,3,10.0,0,,,,,,,,,,,,
tunnel1_gamma,3,20.0,0,,,,,,,,,,,,
tunnel1_gamma,4,1.0,1,0.12051057537715211,0.11614585155497298,-0.004364723822179131,0.03738809645896703,0.0387229845990495,0.11982448552060784,0.12008966318147149,0.0002651776608636469,nan,nan,1706582008.4586346,1706582008.4586346
tunnel1_gamma,4,5.0,1,0.16563400897464012,0.16272926462756376,-0.0029047443470763545,0.021600133507903106,0.020429038431131436,0.09961246891925099,0.09983288010058423,0.00022041118133324378,nan,nan,1706582012.4584434,1706582012.4584434
tunnel1_gamma,4,10.0,1,0.15672698497272053,0.15321220414167014,-0.0035147808310503903,0.01713790943966038,0.015325915083297554,0.1176956182420544,0.11739906301722326,-0.0002965552248311437,nan,nan,1706582017.458115,1706582017.458115
tunnel1_gamma,4,20.0,1,0.21282671452118454,0.2074236301259195,-0.005403084395265045,0.06912547871022974,0.06580227974785176,0.10943060391359831,0.10936441901258513,-6.618490101317764e-05,nan,nan,1706582027.4583435,1706582027.4583435
