sequence,selection_rank,frame,timestamp,weak_rank_R,weak_rank_t,weak_ratio,weak_norm_l,delta_l_norm,delta_tight_norm,nonlinear_delta_norm,cost_init,nonlinear_final_cost,objective_reduction,relative_objective_reduction,nonlinear_reason,native_suffix_end,event_csv_applied,event_csv_reason,prefix_rows_byte_identical,classification,curve_samples,max_separation_translation_m,final_separation_translation_m
stairs_alpha,1,239,1705542315.8823693,1,0,0.47925533285121646,0.003988464230255089,0.04728243301991993,0.012758742518834102,0.05562596779595722,1034.4506583379668,817.135228990483,217.3154293474838,0.21007810048343975,STEP_EPSILON,1705542648.6566548,1,ELIGIBLE_STEP_EPSILON_OBJECTIVE_DECREASE,117,PERSISTENT_HARM,200,0.03845654339438712,0.01960316324511884
stairs_alpha,2,1461,1705542376.9793777,1,1,0.21991654550432696,0.014695059450523457,0.03498344419291022,0.015000686476441281,0.03523004377589217,3062.5559096201064,993.2927132889686,2069.263196331138,0.6756654433086966,STEP_EPSILON,1705542648.6566548,1,ELIGIBLE_STEP_EPSILON_OBJECTIVE_DECREASE,728,PERSISTENT_HARM,200,0.07266006255280498,0.011452643100362581
stairs_alpha,3,3293,1705542468.5755563,1,0,0.012072874534528205,0.0012235083856850517,0.027722880957554336,0.0072464386853730136,0.027108157080716944,255.4673515241449,168.02908226040887,87.43826926373603,0.34226788175502737,STEP_EPSILON,1705542648.6566548,1,ELIGIBLE_STEP_EPSILON_OBJECTIVE_DECREASE,1644,RECOVERS,200,0.01531248004478599,0.0020008163439494834
stairs_alpha,4,3769,1705542492.374822,1,0,0.3107226031562671,0.0011641740830232565,0.01816362121936475,0.00864404181265401,0.01792571562850831,1126.3651660837056,716.3399274218907,410.0252386618149,0.3640251412314574,STEP_EPSILON,1705542648.6566548,1,ELIGIBLE_STEP_EPSILON_OBJECTIVE_DECREASE,1882,MIXED,200,0.005621780914946781,0.0037737416143629006
stairs_alpha,5,5169,1705542562.371933,1,0,0.14805522664069595,0.003188439949492943,0.03506833868087815,0.01235671248344402,0.034128438407854796,567.5780161816455,362.50242273725377,205.0755934443917,0.36131701298797325,STEP_EPSILON,1705542648.6566548,1,ELIGIBLE_STEP_EPSILON_OBJECTIVE_DECREASE,2582,RECOVERS,200,0.02341341204555069,0.007906527493113122
tunnel1_gamma,1,227,1706581960.1640582,1,0,0.29907675862611965,0.00013417335864026716,0.003903223221377512,0.0015649980767196761,0.005633555454264252,1624.4379625226852,1453.3467756808006,171.09118684188456,0.10532331230192811,STEP_EPSILON,1706582156.755885,1,ELIGIBLE_STEP_EPSILON_OBJECTIVE_DECREASE,111,UNAVAILABLE,200,0.0031723656672061657,0.0013394427065628741
tunnel1_gamma,2,545,1706581976.0640323,1,0,0.3504654225189156,8.057994575935793e-05,0.0027399079644150363,0.0010749026666786198,0.0034705065032172356,1004.1191545668275,970.815831358193,33.30332320863454,0.033166704426628967,STEP_EPSILON,1706582156.755885,1,ELIGIBLE_STEP_EPSILON_OBJECTIVE_DECREASE,270,UNAVAILABLE,200,0.0016913940608500174,0.00017275942757339138
tunnel1_gamma,3,865,1706581992.0639184,1,0,0.3749701579168697,0.00014996107095136492,0.009111895243911587,0.0032800885792929105,0.011371129067264812,959.4321261047984,883.5468446265824,75.88528147821603,0.07909395507351097,STEP_EPSILON,1706582156.755885,1,ELIGIBLE_STEP_EPSILON_OBJECTIVE_DECREASE,430,UNAVAILABLE,200,0.006012479041780249,0.0018720182251102677
tunnel1_gamma,4,1173,1706582007.4634585,1,0,0.2908501958799619,0.00013956017079699574,0.005938132245045184,0.0023346698938380792,0.0063495067811671566,1403.762587168747,1383.7255844804715,20.03700268827538,0.01427378309653349,STEP_EPSILON,1706582156.755885,1,ELIGIBLE_STEP_EPSILON_OBJECTIVE_DECREASE,584,MIXED,200,0.007915207420589692,0.0034218533903431765
