sequence,L0_ape_rmse_m,L1_ape_rmse_m,L2_ape_rmse_m,L3_ape_rmse_m,L1_minus_L3_m,L1_minus_L3_pct_vs_L3,L3_trajectory_sha256
stairs_alpha,4.36959277877882,0.4741892664422223,5.640261692268071,0.3567681130263557,0.11742115341586662,32.912457455857975,dacb73677e6f37ad7dca0fdd002422d2aa70e848fc2e71df10c85926c175ebb0
tunneling_tunnel2_alpha,2.56876932863528,2.519870994816955,2.668082734583357,2.5284571390599484,-0.00858614424299331,-0.33958037533456237,63dedf079f39bf73fafcd63f74d0fa21e59be0913e8a2543c92cb526f7a9a99a
tunneling_tunnel2_gamma,1.5259009327514654,1.4141673277823053,1.0782471989122842,2.080833297558521,-0.6666659697762158,-32.038413195253405,56550965b8db84f52093698ea3b970b6b45d3fbf276c94cd073cb556e6e874bf
