frame_id,timestamp,obs_iter,need_converge,attempted,la_pa,la_pr,lr_pa,lr_pr,inv_nf,inv_neg,rej_active,rej_late,sticky,flip,reaccept,r_min,r_mean,r_max,s_min,s_mean,s_max,z_min,z_mean,z_max,pv_min,pv_mean,pv_max,sv_min,sv_mean,sv_max,rv_min,rv_mean,rv_max,tv_min,tv_mean,tv_max,cnt_mean_mean,cnt_max_mean,probe_rescued,bin1_n,bin1_lapr,bin2_n,bin2_lapr,bin3_n,bin3_lapr,bin4_n,bin4_lapr,bin5_n,bin5_lapr,bin1_pv,bin1_z,bin2_pv,bin2_z,bin3_pv,bin3_z,bin4_pv,bin4_z,bin5_pv,bin5_z
0,1609059013.77,1,0,1334,1332,0,2,0,0,0,0,0,0,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,0,0,0,78,0,1111,0,109,0,29,0,7,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,1328,1326,0,2,0,0,0,0,0,0,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,0,0,0,78,0,1105,0,108,0,30,0,7,0,0,0,0,0,0,0,0,0,0,0
1,1609059013.86,1,0,1442,1436,1,4,1,0,0,2,0,0,0,0,0.346237647158,0.346237647158,0.346237647158,0.0054903678932,0.0054903678932,0.0054903678932,4.67276095966,4.67276095966,4.67276095966,0,0,0,0.000330446111261,0.000330446111261,0.000330446111261,0.00509307389271,0.00509307389271,0.00509307389271,6.68478892324e-05,6.68478892324e-05,6.68478892324e-05,0,0,0,45,1,1098,0,256,0,34,0,9,0,0,4.67276095966,0,0,0,0,0,0,0,0
0,0,2,0,1442,1437,1,3,1,0,0,2,0,0,0,0,0.347284742536,0.347284742536,0.347284742536,0.00549035896677,0.00549035896677,0.00549035896677,4.68689618045,4.68689618045,4.68689618045,0,0,0,0.00033043718483,0.00033043718483,0.00033043718483,0.00509307389271,0.00509307389271,0.00509307389271,6.68478892324e-05,6.68478892324e-05,6.68478892324e-05,0,0,0,43,1,1100,0,256,0,34,0,9,0,0,4.68689618045,0,0,0,0,0,0,0,0
2,1609059013.96,1,0,1488,1486,1,1,0,0,0,1,0,0,0,0,0.157829529912,0.157829529912,0.157829529912,0.00141801815511,0.00141801815511,0.00141801815511,4.19128668196,4.19128668196,4.19128668196,0.000830467725915,0.000830467725915,0.000830467725915,0.000395708451179,0.000395708451179,0.000395708451179,0.000164382890386,0.000164382890386,0.000164382890386,2.74590876317e-05,2.74590876317e-05,2.74590876317e-05,5.19999980927,8,1,19,0,873,0,546,1,41,0,9,0,0,0,0,0,0.000830467725915,4.19128668196,0,0,0,0
0,0,2,0,1474,1472,1,1,0,0,0,1,0,0,0,0,0.157981627159,0.157981627159,0.157981627159,0.00140390705285,0.00140390705285,0.00140390705285,4.21635728261,4.21635728261,4.21635728261,0.000816311534204,0.000816311534204,0.000816311534204,0.00039575354063,0.00039575354063,0.00039575354063,0.000164382890386,0.000164382890386,0.000164382890386,2.74590876317e-05,2.74590876317e-05,2.74590876317e-05,5.19999980927,8,1,19,0,858,0,547,1,41,0,9,0,0,0,0,0,0.000816311534204,4.21635728261,0,0,0,0
0,0,3,0,1474,1472,1,1,0,0,0,1,0,0,0,0,0.157880896739,0.157880896739,0.157880896739,0.00140060700796,0.00140060700796,0.00140060700796,4.21863000208,4.21863000208,4.21863000208,0.000813010076546,0.000813010076546,0.000813010076546,0.000395754953395,0.000395754953395,0.000395754953395,0.000164382890386,0.000164382890386,0.000164382890386,2.74590876317e-05,2.74590876317e-05,2.74590876317e-05,5.19999980927,8,1,19,0,859,0,546,1,41,0,9,0,0,0,0,0,0.000813010076546,4.21863000208,0,0,0,0
3,1609059014.07,1,0,1551,1551,0,0,0,0,0,0,0,0,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,0,0,0,11,0,773,0,716,0,44,0,7,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,1540,1540,0,0,0,0,0,0,0,0,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,1e+300,0,0,0,0,0,11,0,765,0,713,0,44,0,7,0,0,0,0,0,0,0,0,0,0,0
4,1609059014.16,1,0,1592,1589,2,0,1,0,0,3,0,0,0,0,0.202698789037,0.276610565531,0.350522342026,0.00359218499107,0.00383085716711,0.00406952934314,3.38198601318,4.43834064618,5.49469527918,0.00114579406531,0.00162745523794,0.00210911641058,0.000243969106155,0.000276531240044,0.000309093373933,0.00121691800632,0.00189072388176,0.00256452975721,2.21814680152e-05,3.61468073567e-05,5.01121466982e-05,5.20000004768,8,1,9,0,664,0,863,2,49,0,7,0,0,0,0,0,0.00162745523794,4.43834064618,0,0,0,0
